mu,potential
0.33854277988804776,-0.028027754534890478
0.33857336306805225,-0.028027936702031207
0.33862853853924835,-0.02802827072631947
0.3387101719496242,-0.02802877300011607
0.33882013962736895,-0.028029460542072976
0.33896030813143685,-0.028030350871519335
0.33913250966913777,-0.028031461845961555
0.3393385134877013,-0.02803281145992488
0.3395799936291174,-0.028034417605311054
0.3398584937917555,-0.02803629779611169
0.3401753904287106,-0.028038468863485166
0.3405318556007563,-0.028040946630691614
0.340928821432421,-0.02804374558077277
0.3413669482427914,-0.02804687853275228
0.3418465984725996,-0.028050356343941964
0.34236781836788766,-0.028054187656237687
0.34293032899115367,-0.028058378702757986
0.3435335275364727,-0.028062933187788533
0.34417649635133146,-0.02806785222671879
0.34485803894514905,-0.02807313449706797
0.3455766821751388,-0.02807877614910324
0.3463307419091194,-0.02808477121175074
0.34711835069900393,-0.028091111734030384
0.34793750460223744,-0.02809778809266909
0.34878610702263835,-0.028104789299179617
0.3496620104320273,-0.02811210331114965
0.35056305442887337,-0.028119717333428072
0.35148709906689574,-0.02812761809789247
0.35243205287180007,-0.028135792113929907
0.35339589537595933,-0.028144225884958487
0.3543766943409962,-0.028152906089206793
0.3553726180798139,-0.02816181972524896
0.3563819434425969,-0.028170954224464903
0.3574030601067616,-0.02818029753368025
0.3584344718254227,-0.02818983817182281
0.359474795260017,-0.028199565264620457
0.36052275696593233,-0.028209468561265293
0.36157718902821256,-0.02821953843668312
0.3626370237673841,-0.028229765882650255
0.3637012878599072,-0.028240142490558638
0.364769096147989,-0.02825066042818327
